150
1738D0
4902.801076D0
23	22	-0.1199603333490D-5	-0.4686125387450D-6
23	23	-0.1093929822230D-5	 0.1954421503800D-6
24	0	-0.2777985763530D-6	 0.0000000000000D+0
24	1	 0.2161279062200D-6	-0.1400240501370D-6
24	2	 0.7866010914190D-6	 0.5147102917480D-6
24	3	-0.5841020567900D-7	-0.1191099506610D-5
24	4	 0.2474371134200D-6	 0.4995705140070D-7
24	5	 0.1281246603400D-6	 0.1089044584280D-7
24	6	-0.2633741049990D-6	-0.3220191399060D-7
24	7	 0.2994526742310D-6	 0.1010634688390D-6
24	8	 0.4455576999700D-6	 0.3752775381580D-6
24	9	-0.9148378880120D-6	-0.1463533900700D-6
24	10	-0.1535286447630D-6	 0.1399902415420D-6
24	11	 0.4025325349500D-6	-0.1782140264260D-6
24	12	 0.1181477551080D-5	-0.4135968178000D-7
24	13	 0.5631096312280D-6	-0.2159466460380D-6
24	14	 0.6811285227850D-6	-0.7227141001220D-6
24	15	-0.3176124176090D-8	 0.3850291436180D-6
24	16	 0.3752558982500D-6	-0.5711107727580D-6
24	17	 0.5400020245330D-6	 0.2872816876980D-6
24	18	-0.1032501296650D-5	-0.7160153708230D-6
24	19	 0.6104866926090D-6	-0.4537269762460D-6
24	20	-0.1039870286440D-6	-0.2202167932290D-6
24	21	-0.2029611048750D-6	-0.1664006902190D-6
24	22	-0.3216246324150D-6	 0.8359140103140D-6
24	23	 0.1440260510710D-6	-0.5731948675670D-6
24	24	 0.8827535054570D-6	-0.8666064561200D-6
25	0	-0.1629445534690D-6	 0.0000000000000D+0
25	1	 0.1752468896660D-6	 0.5588377456550D-6
25	2	-0.6307536861630D-6	-0.2268377549260D-6
25	3	 0.5111765082470D-6	-0.2458856482320D-6
25	4	-0.6977938244180D-6	 0.1878179853380D-6
25	5	 0.3148748828300D-6	 0.8750496723600D-6
25	6	-0.1643087644350D-6	 0.2277453413500D-6
25	7	 0.7058301274710D-6	 0.1059069397680D-5
25	8	-0.1073972750800D-5	 0.1042992644830D-5
25	9	-0.3569308876790D-6	-0.9148853715340D-7
25	10	 0.4258000753730D-6	 0.7854565680450D-6
25	11	-0.2688312325820D-6	-0.3497932099460D-6
25	12	-0.1672630967060D-6	-0.1610082448900D-6
25	13	 0.3447978752300D-6	 0.2497586741510D-6
25	14	-0.7539579674010D-6	 0.4826178998350D-6
25	15	 0.1879337384320D-6	 0.1155857345290D-6
25	16	-0.5121875896360D-7	-0.5813648331560D-6
25	17	-0.3186805952010D-7	-0.2348731597430D-6
25	18	-0.9275610862920D-7	 0.1066446009760D-6
25	19	-0.9803088104630D-6	-0.8390814752840D-7
25	20	-0.2179829684020D-6	-0.7261536861540D-6
25	21	 0.5562493478820D-6	 0.4267032718910D-7
25	22	 0.1426328676840D-6	-0.6168493004370D-6
25	23	 0.9833275312310D-6	-0.3878022537960D-6
25	24	 0.8795011413290D-6	 0.3355388060170D-6
25	25	 0.1839962013280D-7	 0.4745133142570D-6
26	0	 0.9244032430200D-8	 0.0000000000000D+0
26	1	 0.5405368370780D-8	 0.1402375363710D-6
26	2	 0.7404159025160D-6	-0.1286635817910D-6
26	3	 0.1154370422740D-6	 0.8395725643659D-6
26	4	 0.2782801280520D-6	 0.2089275951260D-6
26	5	 0.2875969501820D-6	-0.9129700065190D-6
26	6	-0.5091097868540D-6	-0.1529182518370D-6
26	7	-0.1238466673840D-6	-0.3923115113520D-6
26	8	-0.1201239789020D-6	 0.1288941678740D-6
26	9	 0.8203255370980D-7	 0.6602443757780D-6
26	10	-0.1986556631530D-6	 0.1204910645080D-6
26	11	-0.2257837966550D-6	 0.2700888308550D-6
26	12	-0.2862235651400D-6	-0.8443135157710D-6
26	13	 0.3393621506090D-6	 0.5297506750550D-6
26	14	-0.1081489805730D-6	 0.1261485236680D-6
26	15	 0.1229901707730D-6	-0.1946921872050D-7
26	16	-0.5379553117540D-7	 0.2853675071280D-6
26	17	-0.6801152971970D-7	 0.5244417229120D-7
26	18	-0.1944504954760D-9	 0.2038325800890D-6
26	19	-0.1072330603800D-6	 0.1543254600280D-6
26	20	 0.8828539403370D-7	 0.6468858511550D-6
26	21	-0.3713344165570D-6	-0.7633907012190D-7
26	22	-0.9389617832990D-6	 0.4279748550820D-6
26	23	-0.2047318954800D-6	-0.3706985521350D-7
26	24	-0.4425267859020D-6	-0.1297988891870D-6
26	25	-0.3038781894890D-8	-0.4454347499750D-6
26	26	-0.2103024832180D-7	 0.5423007099360D-6
27	0	-0.7766460198450D-6	 0.0000000000000D+0
27	1	 0.8157687182200D-6	 0.1086540478950D-6
27	2	-0.1408506588280D-6	-0.4986812540860D-6
27	3	 0.3127044828580D-6	-0.9146819399760D-7
27	4	-0.2848566594450D-6	 0.3526696895190D-6
27	5	-0.5594188314720D-6	 0.1004253586380D-6
27	6	-0.1889282099560D-6	 0.5122668095809D-6
27	7	 0.2462489513070D-6	-0.3030749544470D-6
27	8	 0.3816542159180D-7	-0.1158292477230D-6
27	9	-0.4652796132100D-6	-0.1092822316840D-7
27	10	 0.2536848116740D-6	-0.5692238545850D-6
27	11	 0.1533705101550D-6	-0.4811408078000D-6
27	12	-0.2656766248910D-6	-0.5034615346260D-6
27	13	 0.2048675888250D-6	-0.9792624116950D-7
27	14	 0.4467212151370D-6	-0.7629684876390D-6
27	15	 0.1806627600990D-7	 0.3459636384860D-6
27	16	 0.9102795744060D-7	 0.1451599564830D-6
27	17	 0.6296384457989D-7	 0.8349094932730D-6
27	18	-0.7054627512710D-7	-0.6566019089270D-6
27	19	 0.1291883363810D-6	-0.2468036867180D-6
27	20	 0.2478252773430D-6	-0.3330935440750D-6
27	21	 0.5097731593090D-7	-0.4454042272190D-6
27	22	 0.6915989432200D-6	 0.3491020859680D-6
27	23	 0.1991403213160D-7	-0.2964743727650D-6
27	24	 0.8265046663240D-6	-0.3768867984460D-6
27	25	-0.8276187297320D-6	 0.8054467296640D-6
27	26	-0.3107415503690D-6	-0.3887160221740D-6
27	27	-0.3770387335110D-6	-0.2995476694170D-6
28	0	 0.9287714878460D-6	 0.0000000000000D+0
28	1	 0.1025784631580D-6	 0.6391846821510D-6
28	2	-0.2204695410050D-6	 0.5917938831550D-6
28	3	-0.3037640816500D-6	 0.1497065530100D-6
28	4	-0.7209090853890D-6	 0.2384027273240D-6
28	5	 0.1338530791800D-6	-0.5439465443860D-7
28	6	 0.4281033992640D-6	-0.5270248870750D-8
28	7	-0.3419767008790D-6	 0.1935126275560D-6
28	8	-0.1869396626230D-6	-0.9189071754510D-7
28	9	-0.2389543923910D-6	-0.1088441003870D-7
28	10	-0.4686867485570D-6	-0.6793701074910D-6
28	11	-0.2092969152640D-6	-0.1366200963470D-6
28	12	 0.3094896342510D-6	-0.4428595067920D-7
28	13	 0.4346413339540D-6	-0.3541824231450D-6
28	14	 0.3332678151360D-6	-0.3644145543670D-6
28	15	-0.5694381918290D-6	 0.3419569089370D-6
28	16	-0.2048053208040D-6	-0.7492256999950D-6
28	17	-0.9363985044490D-7	 0.2921561491280D-7
28	18	 0.9374409403010D-7	 0.4940270119719D-6
28	19	 0.1100075742080D-6	-0.6797199404040D-8
28	20	 0.2461651067120D-6	-0.4079918881980D-6
28	21	-0.1045334743780D-6	-0.2278956412000D-6
28	22	-0.3927884318950D-6	-0.8266299485180D-7
28	23	 0.9589839459200D-8	 0.7168636140740D-6
28	24	 0.3108412493990D-6	-0.1344786921770D-6
28	25	 0.6231046133840D-6	-0.1879871955800D-6
28	26	 0.5479426278810D-6	 0.6742308835370D-6
28	27	-0.2795857478450D-6	 0.5164854531300D-6
28	28	 0.1898909072150D-6	-0.2287529487290D-7
29	0	-0.6278145586870D-6	 0.0000000000000D+0
29	1	-0.1480838086110D-6	-0.4447963875150D-6
29	2	-0.1637234612320D-6	-0.4659017228610D-6
29	3	-0.1678729544010D-6	 0.3029878255580D-6
29	4	-0.2198087849450D-6	-0.6742135546700D-7
